1534753214.175831 server started (53732): version 2.7, socket /private/tmp/tmux-501/default, protocol 8
1534753214.175884 on Darwin 17.7.0 Darwin Kernel Version 17.7.0: Fri Jul  6 19:54:51 PDT 2018; root:xnu-4570.71.3~2/RELEASE_X86_64; libevent 2.1.8-stable (select)
1534753214.177529 add peer 0x7f8a6b810a00: 8 (0x7f8a6b810000)
1534753214.177566 new client 0x7f8a6b810000
1534753214.177642 loading /usr/local/etc/tmux.conf
1534753214.177662 loading /Users/boomfaya/.tmux.conf
1534753214.177679 server loop enter
1534753214.177746 peer 0x7f8a6b810a00 message 100
1534753214.177759 client 0x7f8a6b810000 IDENTIFY_FLAGS 0x10000
1534753214.177775 peer 0x7f8a6b810a00 message 101
1534753214.177791 client 0x7f8a6b810000 IDENTIFY_TERM xterm-256color
1534753214.177802 peer 0x7f8a6b810a00 message 102
1534753214.177811 client 0x7f8a6b810000 IDENTIFY_TTYNAME /dev/ttys000
1534753214.177821 peer 0x7f8a6b810a00 message 108
1534753214.177838 client 0x7f8a6b810000 IDENTIFY_CWD /Users/boomfaya/go/src/github.com/hello-operator/hello-operator
1534753214.177850 peer 0x7f8a6b810a00 message 104
1534753214.177860 client 0x7f8a6b810000 IDENTIFY_STDIN 6
1534753214.177869 peer 0x7f8a6b810a00 message 107
1534753214.177877 client 0x7f8a6b810000 IDENTIFY_CLIENTPID 53730
1534753214.177885 peer 0x7f8a6b810a00 message 105
1534753214.177899 client 0x7f8a6b810000 IDENTIFY_ENVIRON TERM_PROGRAM=Apple_Terminal
1534753214.177908 peer 0x7f8a6b810a00 message 105
1534753214.177917 client 0x7f8a6b810000 IDENTIFY_ENVIRON SHELL=/bin/bash
1534753214.177925 peer 0x7f8a6b810a00 message 105
1534753214.177935 client 0x7f8a6b810000 IDENTIFY_ENVIRON TERM=xterm-256color
1534753214.177943 peer 0x7f8a6b810a00 message 105
1534753214.177956 client 0x7f8a6b810000 IDENTIFY_ENVIRON TMPDIR=/var/folders/bd/s4sljn7971v1crx8w_ng5dw80000gn/T/
1534753214.177966 peer 0x7f8a6b810a00 message 105
1534753214.177976 client 0x7f8a6b810000 IDENTIFY_ENVIRON Apple_PubSub_Socket_Render=/private/tmp/com.apple.launchd.KwcQto41IO/Render
1534753214.177984 peer 0x7f8a6b810a00 message 105
1534753214.177994 client 0x7f8a6b810000 IDENTIFY_ENVIRON TERM_PROGRAM_VERSION=404
1534753214.178002 peer 0x7f8a6b810a00 message 105
1534753214.178012 client 0x7f8a6b810000 IDENTIFY_ENVIRON OLDPWD=/Users/boomfaya/go/src/github.com/hello-operator
1534753214.178020 peer 0x7f8a6b810a00 message 105
1534753214.178029 client 0x7f8a6b810000 IDENTIFY_ENVIRON TERM_SESSION_ID=61C5D989-F254-48DA-9F65-A63D33E0629A
1534753214.178038 peer 0x7f8a6b810a00 message 105
1534753214.178047 client 0x7f8a6b810000 IDENTIFY_ENVIRON USER=boomfaya
1534753214.178055 peer 0x7f8a6b810a00 message 105
1534753214.178064 client 0x7f8a6b810000 IDENTIFY_ENVIRON SSH_AUTH_SOCK=/private/tmp/com.apple.launchd.xCPHqxhbIF/Listeners
1534753214.178073 peer 0x7f8a6b810a00 message 105
1534753214.178084 client 0x7f8a6b810000 IDENTIFY_ENVIRON PATH=/usr/local/bin:/usr/bin:/bin:/usr/sbin:/sbin:/usr/local/go/bin:/usr/local/go/bin:/Users/boomfaya/go/bin:/usr/local/opt/go/libexec/bin
1534753214.178093 peer 0x7f8a6b810a00 message 105
1534753214.178103 client 0x7f8a6b810000 IDENTIFY_ENVIRON PWD=/Users/boomfaya/go/src/github.com/hello-operator/hello-operator
1534753214.178111 peer 0x7f8a6b810a00 message 105
1534753214.178120 client 0x7f8a6b810000 IDENTIFY_ENVIRON LANG=fr_FR.UTF-8
1534753214.178129 peer 0x7f8a6b810a00 message 105
1534753214.178138 client 0x7f8a6b810000 IDENTIFY_ENVIRON XPC_FLAGS=0x0
1534753214.178146 peer 0x7f8a6b810a00 message 105
1534753214.178155 client 0x7f8a6b810000 IDENTIFY_ENVIRON XPC_SERVICE_NAME=0
1534753214.178164 peer 0x7f8a6b810a00 message 105
1534753214.178173 client 0x7f8a6b810000 IDENTIFY_ENVIRON SHLVL=1
1534753214.178181 peer 0x7f8a6b810a00 message 105
1534753214.178190 client 0x7f8a6b810000 IDENTIFY_ENVIRON HOME=/Users/boomfaya
1534753214.178199 peer 0x7f8a6b810a00 message 105
1534753214.178207 client 0x7f8a6b810000 IDENTIFY_ENVIRON LOGNAME=boomfaya
1534753214.178215 peer 0x7f8a6b810a00 message 105
1534753214.178224 client 0x7f8a6b810000 IDENTIFY_ENVIRON GOPATH=/Users/boomfaya/go
1534753214.178233 peer 0x7f8a6b810a00 message 105
1534753214.178243 client 0x7f8a6b810000 IDENTIFY_ENVIRON _=/usr/local/bin/tmux
1534753214.178271 peer 0x7f8a6b810a00 message 106
1534753214.178280 client 0x7f8a6b810000 name is /dev/ttys000
1534753214.178312 tty_resize: /dev/ttys000 now 241x53
1534753214.178324 peer 0x7f8a6b810a00 message 200
1534753214.178342 cmdq_next <global>: enter
1534753214.178355 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.179270 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.179278 cmd_find_current_client: no target, return 0x0
1534753214.179289 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.179298 cmd_find_current_client: no target, return 0x0
1534753214.179308 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.179317 cmd_find_current_client: no target, return 0x0
1534753214.179328 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.179336 cmd_find_current_client: no target, return 0x0
1534753214.179347 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.179355 cmd_find_current_client: no target, return 0x0
1534753214.179366 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.179374 cmd_find_current_client: no target, return 0x0
1534753214.179385 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.179394 cmd_find_current_client: no target, return 0x0
1534753214.179405 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.179414 cmd_find_current_client: no target, return 0x0
1534753214.179426 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.179434 cmd_find_current_client: no target, return 0x0
1534753214.179446 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.179455 cmd_find_current_client: no target, return 0x0
1534753214.179466 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.179475 cmd_find_current_client: no target, return 0x0
1534753214.179487 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.179495 cmd_find_current_client: no target, return 0x0
1534753214.179506 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.179515 cmd_find_current_client: no target, return 0x0
1534753214.179527 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.179536 cmd_find_current_client: no target, return 0x0
1534753214.179548 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.179556 cmd_find_current_client: no target, return 0x0
1534753214.179584 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.179593 cmd_find_current_client: no target, return 0x0
1534753214.179605 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.179613 cmd_find_current_client: no target, return 0x0
1534753214.179625 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.179633 cmd_find_current_client: no target, return 0x0
1534753214.179645 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.179653 cmd_find_current_client: no target, return 0x0
1534753214.179665 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.179673 cmd_find_current_client: no target, return 0x0
1534753214.179685 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.179693 cmd_find_current_client: no target, return 0x0
1534753214.179705 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.179713 cmd_find_current_client: no target, return 0x0
1534753214.179725 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.179733 cmd_find_current_client: no target, return 0x0
1534753214.179744 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.179753 cmd_find_current_client: no target, return 0x0
1534753214.179764 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.179773 cmd_find_current_client: no target, return 0x0
1534753214.179785 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.179794 cmd_find_current_client: no target, return 0x0
1534753214.179806 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.179815 cmd_find_current_client: no target, return 0x0
1534753214.179828 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.179836 cmd_find_current_client: no target, return 0x0
1534753214.179848 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.179857 cmd_find_current_client: no target, return 0x0
1534753214.179869 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.179877 cmd_find_current_client: no target, return 0x0
1534753214.179889 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.179898 cmd_find_current_client: no target, return 0x0
1534753214.179910 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.179918 cmd_find_current_client: no target, return 0x0
1534753214.179930 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.179938 cmd_find_current_client: no target, return 0x0
1534753214.179953 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.179962 cmd_find_current_client: no target, return 0x0
1534753214.179975 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.179984 cmd_find_current_client: no target, return 0x0
1534753214.179997 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.180005 cmd_find_current_client: no target, return 0x0
1534753214.180018 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.180026 cmd_find_current_client: no target, return 0x0
1534753214.180039 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.180047 cmd_find_current_client: no target, return 0x0
1534753214.180061 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.180070 cmd_find_current_client: no target, return 0x0
1534753214.180084 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.180092 cmd_find_current_client: no target, return 0x0
1534753214.180106 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.180115 cmd_find_current_client: no target, return 0x0
1534753214.180129 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.180138 cmd_find_current_client: no target, return 0x0
1534753214.180151 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.180159 cmd_find_current_client: no target, return 0x0
1534753214.180171 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.180180 cmd_find_current_client: no target, return 0x0
1534753214.180192 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.180201 cmd_find_current_client: no target, return 0x0
1534753214.180213 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.180239 cmd_find_current_client: no target, return 0x0
1534753214.180252 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.180264 cmd_find_current_client: no target, return 0x0
1534753214.180276 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.180285 cmd_find_current_client: no target, return 0x0
1534753214.180298 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.180307 cmd_find_current_client: no target, return 0x0
1534753214.180320 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.180329 cmd_find_current_client: no target, return 0x0
1534753214.180341 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.180351 cmd_find_current_client: no target, return 0x0
1534753214.180370 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.180396 cmd_find_current_client: no target, return 0x0
1534753214.180424 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.180436 cmd_find_current_client: no target, return 0x0
1534753214.180451 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.180460 cmd_find_current_client: no target, return 0x0
1534753214.180474 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.180483 cmd_find_current_client: no target, return 0x0
1534753214.180496 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.180505 cmd_find_current_client: no target, return 0x0
1534753214.180518 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.180527 cmd_find_current_client: no target, return 0x0
1534753214.180539 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.180548 cmd_find_current_client: no target, return 0x0
1534753214.180560 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.180569 cmd_find_current_client: no target, return 0x0
1534753214.180581 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.180590 cmd_find_current_client: no target, return 0x0
1534753214.180602 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.180611 cmd_find_current_client: no target, return 0x0
1534753214.180629 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.180638 cmd_find_current_client: no target, return 0x0
1534753214.180654 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.180663 cmd_find_current_client: no target, return 0x0
1534753214.180675 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.180684 cmd_find_current_client: no target, return 0x0
1534753214.180696 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.180704 cmd_find_current_client: no target, return 0x0
1534753214.180718 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.180728 cmd_find_current_client: no target, return 0x0
1534753214.180740 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.180750 cmd_find_current_client: no target, return 0x0
1534753214.180762 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.180770 cmd_find_current_client: no target, return 0x0
1534753214.180783 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.180792 cmd_find_current_client: no target, return 0x0
1534753214.180805 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.180814 cmd_find_current_client: no target, return 0x0
1534753214.180827 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.180836 cmd_find_current_client: no target, return 0x0
1534753214.180851 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.180860 cmd_find_current_client: no target, return 0x0
1534753214.180875 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.180884 cmd_find_current_client: no target, return 0x0
1534753214.180928 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.180939 cmd_find_current_client: no target, return 0x0
1534753214.180959 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.180968 cmd_find_current_client: no target, return 0x0
1534753214.180983 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.180992 cmd_find_current_client: no target, return 0x0
1534753214.181028 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.181037 cmd_find_current_client: no target, return 0x0
1534753214.181050 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.181059 cmd_find_current_client: no target, return 0x0
1534753214.181072 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.181081 cmd_find_current_client: no target, return 0x0
1534753214.181094 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.181103 cmd_find_current_client: no target, return 0x0
1534753214.181116 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.181124 cmd_find_current_client: no target, return 0x0
1534753214.181137 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.181146 cmd_find_current_client: no target, return 0x0
1534753214.181159 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.181168 cmd_find_current_client: no target, return 0x0
1534753214.181180 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.181189 cmd_find_current_client: no target, return 0x0
1534753214.181201 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.181210 cmd_find_current_client: no target, return 0x0
1534753214.181222 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.181230 cmd_find_current_client: no target, return 0x0
1534753214.181242 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.181251 cmd_find_current_client: no target, return 0x0
1534753214.181266 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.181275 cmd_find_current_client: no target, return 0x0
1534753214.181288 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.181296 cmd_find_current_client: no target, return 0x0
1534753214.181308 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.181316 cmd_find_current_client: no target, return 0x0
1534753214.181328 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.181337 cmd_find_current_client: no target, return 0x0
1534753214.181349 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.181357 cmd_find_current_client: no target, return 0x0
1534753214.181370 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.181379 cmd_find_current_client: no target, return 0x0
1534753214.181391 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.181400 cmd_find_current_client: no target, return 0x0
1534753214.181412 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.181420 cmd_find_current_client: no target, return 0x0
1534753214.181433 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.181441 cmd_find_current_client: no target, return 0x0
1534753214.181454 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.181462 cmd_find_current_client: no target, return 0x0
1534753214.181475 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.181483 cmd_find_current_client: no target, return 0x0
1534753214.181496 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.181504 cmd_find_current_client: no target, return 0x0
1534753214.181516 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.181525 cmd_find_current_client: no target, return 0x0
1534753214.181537 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.181546 cmd_find_current_client: no target, return 0x0
1534753214.181564 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.181574 cmd_find_current_client: no target, return 0x0
1534753214.181602 cmdq_next <global>: command[bind-key] (0), flags 0
